ProductCode,Name,TamilName,Description,Mrp,SellingPrice,PurchasePrice,Barcode,TaxSlabName,IsWeighable,HasExpiry,Uom
PROD-U01,Ooty Apples,ஊட்டி ஆப்பிள்,Fresh Red Ooty Apples,250.00,220.00,180.00,2900000000001,GST 0% — Exempt / Nil-rated,TRUE,FALSE,Kgs
PROD-U02,Organic Bananas,கதலி வாழைப்பழம்,Sweet Cavendish Bananas,80.00,70.00,50.00,2900000000002,GST 0% — Exempt / Nil-rated,TRUE,FALSE,Kgs
PROD-U03,Basmati Rice Premium,பாஸ்மதி அரிசி,Long grain premium Basmati Rice,140.00,125.00,100.00,2900000000003,GST 5%,FALSE,FALSE,Pack
PROD-U04,Aashirvaad Atta,ஆசிர்வாத் கோதுமை மாவு,Whole wheat flour 5kg pack,320.00,299.00,250.00,2900000000004,GST 5%,FALSE,FALSE,Pack
PROD-U05,Gold Winner Sunflower Oil,சூரியகாந்தி எண்ணெய்,Refined sunflower oil 1L bottle,160.00,145.00,125.00,2900000000005,GST 5%,FALSE,FALSE,Ltrs
PROD-U06,Amul Butter,அமுல் வெண்ணெய்,Salted Butter 500g block,275.00,260.00,220.00,2900000000006,GST 12%,FALSE,TRUE,Pack
PROD-U07,Toned Milk Pack,பால் பாக்கெட்,Pasteurized toned milk 500ml packet,30.00,28.00,24.00,2900000000007,GST 0% — Exempt / Nil-rated,FALSE,TRUE,Mls
PROD-U08,Cadbury Dairy Milk Silk,சாக்லேட்,Chocolate bar 150g pack,180.00,170.00,140.00,2900000000008,GST 18%,FALSE,TRUE,Pcs
PROD-U09,Colgate Strong Teeth,கொல்கேட் பேஸ்ட்,Fluoride toothpaste 200g tube,120.00,110.00,90.00,2900000000009,GST 18%,FALSE,FALSE,Pcs
PROD-U10,Vim Liquid Dishwash,விம் லிக்விட்,Lemon gel dishwash 500ml bottle,115.00,105.00,85.00,2900000000010,GST 18%,FALSE,FALSE,Mls
PROD-U11,Surf Excel Easy Wash,சர்ப் எக்செல்,Detergent powder 1kg pack,150.00,140.00,110.00,2900000000011,GST 18%,FALSE,FALSE,Pack
PROD-U12,Dettol Liquid Handwash,டெட்டால் ஹேண்ட்வாஷ்,Handwash liquid refill 750ml,130.00,119.00,95.00,2900000000012,GST 18%,FALSE,FALSE,Mls
PROD-U13,Britannia Marie Gold,மேரி கோல்ட் பிஸ்கட்,Crispy tea biscuits combo pack,40.00,38.00,30.00,2900000000013,GST 18%,FALSE,FALSE,Pack
PROD-U14,Tata Salt,டாடா உப்பு,Iodized table salt 1kg packet,28.00,26.00,20.00,2900000000014,GST 0% — Exempt / Nil-rated,FALSE,FALSE,Pack
PROD-U15,Red Label Tea,ரெட் லேபிள் டீ தூள்,Premium black tea leaves 1kg,450.00,420.00,360.00,2900000000015,GST 5%,FALSE,FALSE,Pack
PROD-U16,Nescafe Classic Coffee,காபி தூள்,Instant coffee powder 200g jar,380.00,355.00,300.00,2900000000016,GST 5%,FALSE,FALSE,Pcs
PROD-U17,Premium Cashew Nuts,முந்திரி பருப்பு,Whole premium cashews bulk,900.00,850.00,720.00,2900000000017,GST 5%,TRUE,FALSE,Gms
PROD-U18,Organic Almonds,பாதாம் பருப்பு,Raw californian almonds bulk,850.00,799.00,680.00,2900000000018,GST 5%,TRUE,FALSE,Gms
PROD-U19,Turmeric Powder Tata,மஞ்சள் தூள்,Pure ground turmeric 200g packet,60.00,54.00,45.00,2900000000019,GST 5%,FALSE,FALSE,Pack
PROD-U20,Garlic Whole Loose,பூண்டு,Fresh white garlic crop,220.00,200.00,160.00,2900000000020,GST 0% — Exempt / Nil-rated,TRUE,FALSE,Kgs
PROD-U21,Fresh Potatoes,உருளைக்கிழங்கு,Loose dirty potatoes new crop,40.00,35.00,25.00,2900000000021,GST 0% — Exempt / Nil-rated,TRUE,FALSE,Kgs
PROD-U22,Country Eggs Box,நாட்டு முட்டை பெட்டி,Farm fresh country eggs box of 30,240.00,220.00,180.00,2900000000022,GST 0% — Exempt / Nil-rated,FALSE,TRUE,Box
PROD-U23,Coca Cola Bottle,கோகோ கோலா,Soft drink carbonated 2.25L bottle,100.00,95.00,80.00,2900000000023,GST 28% + Cess (Demerit Goods),FALSE,TRUE,Ltrs
PROD-U24,Tropicana Mixed Fruit,பழச்சாறு,100% fruit juice 1L carton,120.00,110.00,90.00,2900000000024,GST 12%,FALSE,TRUE,Ltrs
PROD-U25,Maggi 2-Min Noodles,மேகி நூடுல்ஸ்,Masala noodles 12-pack family pack,180.00,168.00,140.00,2900000000025,GST 18%,FALSE,FALSE,Pack
PROD-U26,Pears Pure Soap,பியர்ஸ் சோப்பு,Glycerin transparent bathing soap 3-pack,175.00,160.00,130.00,2900000000026,GST 18%,FALSE,FALSE,Pack
PROD-U27,Listerine Mouthwash,மவுத்வாஷ்,Cool mint antiseptic mouthwash 250ml,145.00,135.00,110.00,2900000000027,GST 18%,FALSE,FALSE,Mls
PROD-U28,Harpic Toilet Cleaner,ஹார்பிக்,Disinfectant toilet cleaner 1L bottle,195.00,180.00,150.00,2900000000028,GST 18%,FALSE,FALSE,Ltrs
PROD-U29,Good Knight Gold Flash,கொசு மருந்து,Mosquito repellent liquid refill pack of 2,160.00,148.00,120.00,2900000000029,GST 12%,FALSE,FALSE,Pack
PROD-U30,Premium Basmati Bulk,பாஸ்மதி அரிசி மொத்த விற்பனை,Basmati Rice loose bags from wholesale,120.00,110.00,90.00,2900000000030,GST 5%,TRUE,FALSE,Kgs
